CollegeID,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR,,,,,,,,
IR-E-C-1412.pdf,12.07,23.09,11.79,7.82,1.99,2.66,1.5,0.39,29.55,14.45,12.46,1.57,1.76,25.41,4.67,20,11.78,,,,,,,,
IR-E-U-0064.pdf,10.58,25.87,16.27,18.73,22.06,21.15,2,2.57,25.09,12.02,18.81,6.47,16.78,9.47,5.22,20,27.92,,,,,,,,
IR-E-C-16604.pdf,12.5,25.52,14.63,11.13,17.39,16.42,2.5,1.01,32.25,14.56,11.84,4.76,3.15,25.52,3.96,20,22.25,,,,,,,,
IR-E-U-0149.pdf,14.37,18.23,12.19,11.74,15.61,17.35,4.5,1.18,29.7,14.79,14.42,6.18,12.64,13.95,3.28,20,10.53,,,,,,,,
IR-E-U-0197.pdf,12.09,22.74,13.78,14.59,8.1,9.55,1.5,0.65,30.61,15,13.71,5.11,12.81,21.86,11.2,20,11.37,,,,,,,,
IR-E-I-1356.pdf,9,30,18.62,4.28,0.26,0.59,1,0.16,21.04,15,10.95,4.26,18.28,20.76,2.95,20,0,,,,,,,,
IR-E-I-1480.pdf,16.51,18.09,12.19,12.73,21.68,30.1,4.5,0.69,32.98,15,14.9,8.31,14.06,19.7,0.79,20,25.33,,,,,,,,
IR-E-U-0613.pdf,7.19,30,15.36,11.03,6.65,9.49,0,0.72,15.56,12.75,13.17,2.31,10.9,19.9,8.94,20,4.63,,,,,,,,
IR-E-U-0055.pdf,14.37,23.06,15.47,12.58,21.17,21.92,4,0.91,30.49,15,14.21,7.1,14.27,16,7.31,20,14.556,,,,,,,,
IR-E-U-0489.pdf,13.84,24.48,11.62,4.87,12.56,14.46,4,0.11,22.7,11.09,10.66,0.46,19.43,18.8,5.56,20,2.12,,,,,,,,
IR-E-U-0615.pdf,5.35,23.22,14.71,12.68,5.07,5.94,3,1.26,17.27,9.81,12.73,1.1,12.3,13.78,8.86,20,4.63,,,,,,,,
IR-E-C-1400.pdf,12,24.01,11.92,7.38,3.91,5.35,2,0.14,23.67,15,11.52,0.16,2.36,24.93,1.49,20,,,,,,,,,
IR-E-U-0130.pdf,8.28,19.94,11.4,8.97,5.33,4.95,0,0.36,36.47,15,19.05,1.3,4.93,20.31,3.76,20,6.07,,,,,,,,
IR-E-U-0620.pdf,6.4,22.15,13.87,12.53,11.31,10.3,0,0.9,26.28,12.69,13.78,1.76,17.31,18.48,2.32,20,8.36,,,,,,,,
IR-E-U-0011.pdf,13.01,20.29,11.58,6.23,6.57,9.43,5,0.08,36.95,15,10.04,1.88,8.11,21.66,0.03,20,5.12,,,,,,,,
IR-E-I-1093.pdf,11,29.84,9.93,5.9,0.45,1.36,1,0.38,32.86,15,10.65,0,9.79,20.22,2.15,20,23.2,,,,,,,,
IR-E-C-33777.pdf,9.5,24.19,10.93,8.75,3.47,1.99,0.5,0.15,30.39,15,11.77,1.17,0.41,21.79,0.52,20,1.08,,,,,,,,
IR-E-U-0685.pdf,9.01,13.66,8.38,8.34,4.62,5.19,0,1.22,33.26,14.78,17.98,1.23,3.73,30,0.39,16,16.43,,,,,,,,
IR-E-U-0207.pdf,11.69,17.25,11.94,12.55,7.25,10.27,0.5,1.07,34.85,15,14.32,2.99,13.38,10.23,3.16,20,8.36,,,,,,,,
IR-E-U-0530.pdf,16.22,17.13,11.76,13.9,16.03,18.29,1.5,2.16,34.55,15,16.89,8.78,13.11,11.17,7.86,20,18.23,,,,,,,,
IR-E-U-0108.pdf,10.5,25.38,13.89,9.77,25.78,26.06,3,2.61,36.92,15,14.83,6.79,21.79,10.17,8.98,20,16.07,,,,,,,,
IR-E-C-1345.pdf,11.42,29,12.87,7.04,0.41,0.42,0.5,0.13,35.72,15,9.89,4.85,1.93,30,5.79,20,0,,,,,,,,
IR-E-U-0454.pdf,9.52,23.42,12.68,4.47,9.24,10.84,6,0.18,18.19,13.09,9.74,1.1,6.52,19.75,2,20,5.6,,,,,,,,
IR-E-U-0747.pdf,18,30,17.29,10.63,4.6,8.96,11,0.28,19.42,15,12.3,5.72,24.97,30,4.51,20,30.61,,,,,,,,
IR-E-U-0373.pdf,13.7,6.6,9.38,9.07,4.39,6.28,5,0.53,23.03,15,11.76,1.03,15.3,22.49,0.34,20,17.88,,,,,,,,
IR-E-S-8898.pdf,7.14,21.56,13.95,15.49,1.5,4.91,1,1.33,26.3,14.91,14.18,1.76,19.23,22.75,1.11,20,1.6,,,,,,,,
IR-E-U-0163.pdf,7.83,28.63,17.23,11,5.58,6.93,2,0.07,29.54,14.9,10.06,0.38,9.4,20.96,1.28,20,4.14,,,,,,,,
IR-E-C-1269.pdf,13.5,25.91,13.79,8.06,7.82,6.02,2,0.52,24.29,15,15.62,0.38,6.72,23.12,0.91,20,12.99,,,,,,,,
IR-E-C-16504.pdf,9.36,26.08,10.85,4.86,0.11,0.28,1,0.14,32.25,14.83,11.6,0.38,5.13,25.15,8.08,20,3.14,,,,,,,,
IR-E-I-1441.pdf,14.5,13.52,9.4,8.13,13.6,12.68,3.5,0.24,10.75,15,9.75,0.38,20.02,20.04,4.7,20,1.08,,,,,,,,
IR-E-C-24004.pdf,12.5,21.89,12.26,14.76,4.43,4.3,1.5,1.51,38.72,15,11.15,7.26,2.34,28.97,4.71,20,7.91,,,,,,,,
IR-E-C-19607.pdf,13.25,29.27,12.66,6.01,1.17,2.42,1,0.13,25.06,15,10.79,0,5.78,25.48,2.73,20,1.6,,,,,,,,
IR-E-C-33773.pdf,8.5,20.57,8.85,8.61,5.81,4.26,3,0.04,33.62,15,14.92,0.38,0.46,24.63,1.32,20,3.14,,,,,,,,
IR-E-C-26794.pdf,11.5,21.07,11.63,7.74,8.78,9.24,2,1.3,30.66,15,10.63,3.37,0.49,25.66,2.44,20,29.29,,,,,,,,
IR-E-C-19582.pdf,10.82,29.96,11.98,5.17,0.38,0.39,2,0.04,24.04,13.33,9.21,0,4.94,27.71,2.81,20,6.07,,,,,,,,
IR-E-U-0169.pdf,8.65,28.91,15.54,6.59,2.99,3.95,2,0.43,33.15,15,11.15,1.5,13.59,22.26,1.46,20,10.53,,,,,,,,
IR-E-C-43708.pdf,12.5,27.15,11.93,9.06,6.02,5.39,0.5,0.88,25.81,15,12,1.3,0.55,26.25,5.75,20,11.37,,,,,,,,
IR-E-U-0190.pdf,9.06,21.69,13.17,5.19,8.21,15.36,4,0.2,19.72,13.96,9.79,2.31,11.27,20.91,0.6,20,5.12,,,,,,,,
IR-E-U-0555.pdf,12.95,30,15.46,12.64,5.39,8.42,4,0.39,21.22,14.3,10.92,1.69,18.75,26.69,1.84,20,27.35,,,,,,,,
