CollegeID,MS,GMS
IR-E-C-1412.pdf,579000,12.46
IR-E-U-0064.pdf,1075000,18.81
IR-E-C-16604.pdf,455000,11.84
IR-E-U-0149.pdf,681000,14.42
IR-E-U-0197.pdf,601500,13.71
IR-E-I-1356.pdf,492000,10.95
IR-E-I-1480.pdf,800000,14.9
IR-E-U-0613.pdf,600000,13.17
IR-E-U-0055.pdf,645000,14.21
IR-E-U-0489.pdf,460000,10.66
IR-E-U-0615.pdf,603750,12.73
IR-E-C-1400.pdf,450000,11.52
IR-E-U-0130.pdf,875000,19.05
IR-E-U-0620.pdf,645000,13.78
IR-E-U-0011.pdf,396000,10.04
IR-E-I-1093.pdf,401000,10.65
IR-E-C-33777.pdf,437500,11.77
IR-E-U-0685.pdf,937500,17.98
IR-E-U-0207.pdf,690000,14.32
IR-E-U-0530.pdf,900000,16.89
IR-E-U-0108.pdf,680000,14.83
IR-E-C-1345.pdf,358000,9.89
IR-E-U-0454.pdf,369000,9.74
IR-E-U-0747.pdf,568500,12.3
IR-E-U-0373.pdf,200011.5,11.76
IR-E-S-8898.pdf,521500,14.18
IR-E-U-0163.pdf,412500,10.06
IR-E-C-1269.pdf,740000,15.62
IR-E-C-16504.pdf,480500,11.6
IR-E-I-1441.pdf,421000,9.75
IR-E-C-24004.pdf,500000,11.15
IR-E-C-19607.pdf,420000,10.79
IR-E-C-33773.pdf,686000,14.92
IR-E-C-26794.pdf,400000,10.63
IR-E-C-19582.pdf,335000,9.21
IR-E-U-0169.pdf,437500,11.15
IR-E-C-43708.pdf,512500,12
IR-E-U-0190.pdf,350000,9.79
IR-E-U-0555.pdf,380000,10.92
IR-E-U-0619.pdf,525000,12.57
IR-E-U-0147.pdf,380000,10.2
IR-E-C-37065.pdf,362500,9.68
IR-E-C-7252.pdf,675000,13.7
IR-E-U-0020.pdf,450000,10.82
IR-E-C-18886.pdf,372500,10.82
IR-E-U-0878.pdf,700000,15.95
IR-E-U-0765.pdf,290000,8.96
IR-E-C-36969.pdf,425000,10.42
IR-E-U-0439.pdf,500000,12.12
IR-E-C-18010.pdf,361250,10.15
IR-E-U-0172.pdf,700000,15.27
IR-E-U-0493.pdf,617000,13.8
IR-E-U-0223.pdf,535000,10.7
IR-E-C-19650.pdf,325000,10.5
IR-E-U-0105.pdf,1450000,20.43
IR-E-U-0535.pdf,600000,14.76
IR-E-U-0564.pdf,465000,10.89
IR-E-U-0384.pdf,350000,9.14
IR-E-U-0621.pdf,610000,13.22
IR-E-C-37064.pdf,450000,11.35
IR-E-C-6379.pdf,1050000,18.86
IR-E-U-0491.pdf,337500,8.57
IR-E-U-0017.pdf,398750,10.06
IR-E-U-0844.pdf,887500,16.6
IR-E-U-0938.pdf,400000,10.76
IR-E-C-1336.pdf,350000,10.11
IR-E-U-0168.pdf,462500,10.39
IR-E-U-0334.pdf,814500,15.1
IR-E-C-18254.pdf,395000,10.74
IR-E-U-0749.pdf,525000,10.96
IR-E-U-0072.pdf,625000,13.74
IR-E-U-0643.pdf,335000,9.42
IR-E-U-0474.pdf,390000,9.62
IR-E-U-0237.pdf,932500,16.68
IR-E-C-42227.pdf,495000,12.62
IR-E-U-0460.pdf,284000,8.42
IR-E-C-18817.pdf,400000,9.68
IR-E-C-36975.pdf,600000,14.67
IR-E-U-0614.pdf,655500,13.05
IR-E-U-0774.pdf,400000,10.5
IR-E-U-0202.pdf,700000,15.63
IR-E-C-27058.pdf,400000,10.08
IR-E-C-16614.pdf,425000,11.15
IR-E-U-0410.pdf,690000,14.72
IR-E-C-6581.pdf,470000,11.79
IR-E-C-46111.pdf,418000,10.56
IR-E-U-0273.pdf,1200000,20.53
IR-E-C-16626.pdf,390000,9.77
IR-E-U-0513.pdf,396000,9.8
IR-E-C-45375.pdf,331435,8.72
IR-E-C-19667.pdf,350000,10.09
IR-E-U-0175.pdf,450000,10.08
IR-E-U-0616.pdf,600000,13.54
IR-E-I-1015.pdf,500000,11.57
IR-E-I-1075.pdf,1600000,22
IR-E-U-0363.pdf,355000,9.86
IR-E-C-17958.pdf,415000,10.2
IR-E-C-27089.pdf,312000,8.57
IR-E-U-0043.pdf,465000,11.18
IR-E-C-41593.pdf,650000,15.11
IR-E-C-35417.pdf,465000,9.51
IR-E-U-0249.pdf,125000,8.8
IR-E-C-1371.pdf,645000,13.79
IR-E-U-0795.pdf,575000,14.21
IR-E-C-19747.pdf,350000,9.83
IR-E-U-0025.pdf,854500,16.72
IR-E-U-0467.pdf,825000,17.38
IR-E-C-30045.pdf,385000,11.02
IR-E-C-1406.pdf,530000,11.01
IR-E-U-0473.pdf,360000,9.86
IR-E-C-26929.pdf,340000,10.63
IR-E-U-0391.pdf,1275000,19.68
IR-E-C-1262.pdf,675000,14.97
IR-E-U-0053.pdf,1400000,22.1
IR-E-U-0356.pdf,724500,11.88
IR-E-C-1331.pdf,500000,11.89
IR-E-U-0445.pdf,325000,8.8
IR-E-U-0436.pdf,447500,10.87
IR-E-U-0575.pdf,866000,16.58
IR-E-U-0263.pdf,905000,15.57
IR-E-C-43264.pdf,415000,11.2
IR-E-U-0604.pdf,289000,9.42
IR-E-C-33641.pdf,700600,14.83
IR-E-C-19534.pdf,367000,10.15
IR-E-C-25622.pdf,415000,11.2
IR-E-U-0389.pdf,455000,12.17
IR-E-U-0374.pdf,639000,13.53
IR-E-C-37028.pdf,425000,9.14
IR-E-C-42054.pdf,620000,14.21
IR-E-U-0496.pdf,468500,11.94
IR-E-U-0507.pdf,445000,10.74
IR-E-C-1352.pdf,450000,11.4
IR-E-C-27616.pdf,680500,12.62
IR-E-U-0622.pdf,745000,14.98
IR-E-U-0733.pdf,535000,14.39
IR-E-C-19754.pdf,367500,9.94
IR-E-U-0286.pdf,790000,15.62
IR-E-U-0217.pdf,487500,9.65
IR-E-C-16547.pdf,387500,10.12
IR-E-C-16576.pdf,345000,8.99
IR-E-U-0284.pdf,700000,14.76
IR-E-U-0080.pdf,785500,15.69
IR-E-U-0098.pdf,1000000,17.57
IR-E-C-30153.pdf,388000,9.95
IR-E-U-0458.pdf,401500,10.62
IR-E-C-10342.pdf,460000,10.74
IR-E-C-1297.pdf,550000,12.12
IR-E-C-16560.pdf,400000,11.65
IR-E-U-0255.pdf,913668,16.98
IR-E-U-0184.pdf,800000,20.43
IR-E-U-0355.pdf,900000,18.86
IR-E-U-0205.pdf,1100000,17.41
IR-E-U-0701.pdf,1508000,20.45
