CollegeID,RF,CF,FPPP
IR-E-C-1412.pdf,23274851.33,6252832.333,0.39
IR-E-U-0064.pdf,99747797,21179954.67,2.57
IR-E-C-16604.pdf,62110927.67,13848704.33,1.01
IR-E-U-0149.pdf,36318251.67,97259146.33,1.18
IR-E-U-0197.pdf,25348271.33,11691786.67,0.65
IR-E-I-1356.pdf,1592000,3422216.667,0.16
IR-E-I-1480.pdf,89620333.33,22501055,0.69
IR-E-U-0613.pdf,12141516.67,867044.3333,0.72
IR-E-U-0055.pdf,54623981.67,10461978.33,0.91
IR-E-U-0489.pdf,5201333,14310536,0.11
IR-E-U-0615.pdf,24091206.33,273171.6667,1.26
IR-E-C-1400.pdf,6764850.667,3747467.667,0.14
IR-E-U-0130.pdf,9842394.667,1832463,0.36
IR-E-U-0620.pdf,13524149,0,0.9
IR-E-U-0011.pdf,21247485,1259520.667,0.08
IR-E-I-1093.pdf,26540119,26540119,0.38
IR-E-C-33777.pdf,5735666.667,8095787.333,0.15
IR-E-U-0685.pdf,49673736.33,1444686.333,1.22
IR-E-U-0207.pdf,61499728.67,1264028,1.07
IR-E-U-0530.pdf,144573848.3,8823690.333,2.16
IR-E-U-0108.pdf,72299290,114545058.7,2.61
IR-E-C-1345.pdf,5630333.333,56777979,0.13
IR-E-U-0454.pdf,12701610,1587493.333,0.18
IR-E-U-0747.pdf,27415138.67,7426437.333,0.28
IR-E-U-0373.pdf,32813603.67,42408620,0.53
IR-E-S-8898.pdf,22964157.33,25517812,1.33
IR-E-U-0163.pdf,759000,22964157.33,0.07
IR-E-C-1269.pdf,28660621.67,1438098,0.52
IR-E-C-16504.pdf,5951066.667,981730.6667,0.14
IR-E-I-1441.pdf,0,22048022,0.24
IR-E-C-24004.pdf,45154522,2701000,1.51
IR-E-C-19607.pdf,9773697.667,24723360,0.13
IR-E-C-33773.pdf,176666.6667,53265962,0.04
IR-E-C-26794.pdf,78470949.33,9773697.667,1.3
IR-E-C-19582.pdf,1413633.333,844666.6667,0.04
IR-E-U-0169.pdf,12351666.67,668500,0.43
IR-E-C-43708.pdf,28331779,12728700,0.88
IR-E-U-0190.pdf,1904792.667,1868333.333,0.2
IR-E-U-0555.pdf,14686526,5207225.667,0.39
IR-E-U-0619.pdf,17731043,33250755.67,1.21
IR-E-U-0147.pdf,49309718.67,1962876.333,1.03
IR-E-C-37065.pdf,18358010.33,12718333.33,0.19
IR-E-C-7252.pdf,32473439.33,8070038.333,0.23
IR-E-U-0020.pdf,68665513.67,25376674.33,0.35
IR-E-C-18886.pdf,1254146,3981113,0.05
IR-E-U-0878.pdf,27887554.67,2639033.667,1.25
IR-E-U-0765.pdf,6311780,14253956.67,0.86
IR-E-C-36969.pdf,33879638.33,1745335,0.77
IR-E-U-0439.pdf,407880499.7,2091298.667,2.16
IR-E-C-18010.pdf,5864828.667,10048531.33,0.3
IR-E-U-0172.pdf,14375900,10583996.33,0.77
IR-E-U-0493.pdf,11141072,275928741.3,0.23
IR-E-U-0223.pdf,31475331,22808170.67,0.66
IR-E-C-19650.pdf,13107520.67,70300630.33,0.24
IR-E-U-0105.pdf,148267359,5159377.667,2.63
IR-E-U-0535.pdf,9741602.667,36270659,1
IR-E-U-0564.pdf,12937473.33,2078690,0.26
IR-E-U-0384.pdf,9409582.333,7077382.667,0.23
IR-E-U-0621.pdf,7002683,5803068.667,0.41
IR-E-C-37064.pdf,13745058,15405996.33,0.31
IR-E-C-6379.pdf,30521083.33,158663.6667,0.35
IR-E-U-0491.pdf,16259181,424480,0.38
IR-E-U-0017.pdf,218316962.3,13745058,2.62
IR-E-U-0844.pdf,31530252,6967010,1.79
IR-E-U-0938.pdf,40640458.67,2142072,0.46
IR-E-C-1336.pdf,3460266.667,2009238.333,0.07
IR-E-U-0168.pdf,382933.3333,195625708,0.13
IR-E-U-0334.pdf,156687799.3,10353282.33,2.87
IR-E-C-18254.pdf,12391101,4768099.333,0.24
IR-E-U-0749.pdf,9949473,325891.3333,0.13
IR-E-U-0072.pdf,71098159.33,4800155,1.88
IR-E-U-0643.pdf,7095000,180269091.7,0.21
IR-E-U-0474.pdf,181367936.7,8021662.333,1
IR-E-U-0237.pdf,317354172.7,2344508,3.04
IR-E-C-42227.pdf,4645410.667,66679646.67,0.08
IR-E-U-0460.pdf,34280824.67,11383233.33,0.44
IR-E-C-18817.pdf,995689,26901333.33,0.23
IR-E-C-36975.pdf,256784.3333,83432304,0.2
IR-E-U-0614.pdf,4261295,1265296.667,0.28
IR-E-U-0774.pdf,3448591.667,11306884.33,0.08
IR-E-U-0202.pdf,104354675.7,16298074.67,1.44
IR-E-C-27058.pdf,8059103.667,12162066.33,0.14
IR-E-C-16614.pdf,14644576.33,150000,0.38
IR-E-U-0410.pdf,89837183.33,1064226.667,1.66
IR-E-C-6581.pdf,100630077.3,7991112.333,1.74
