,CollegeID,UG4_MaleStudent,UG4_FemaleStudent,UG4_TotalStudents,UG4_WithinState,UG4_OutsideState,UG4_OutsideCountry,UG4_EcoBackward,UG4_SociallyChallenged,UG4_FullScholarshipState,UG4_FullScholarshipFunds,UG4_FullScholarshipPrivate,UG4_NoScholarship,PG2_MaleStudent,PG2_FemaleStudent,PG2_TotalStudents,PG2_WithinState,PG2_OutsideState,PG2_OutsideCountry,PG2_EcoBackward,PG2_SociallyChallenged,PG2_FullScholarshipState,PG2_FullScholarshipFunds,PG2_FullScholarshipPrivate,PG2_NoScholarship
0,IR-E-C-1412.pdf,2657,1381,4038,3742,294,2,1230,1491,2121,34,91,475,156,202,358,344,14,0,110,138,230,4,0,14
1,IR-E-U-0064.pdf,1027,167,1194,271,923,0,159,579,0,412,0,326,204,34,238,102,135,1,31,117,0,45,0,103
2,IR-E-C-16604.pdf,2548,1345,3893,3410,435,48,715,1195,363,620,161,766,41,54,95,90,5,0,55,27,15,5,2,60
3,IR-E-U-0149.pdf,2662,562,3224,1499,1504,221,404,1499,744,358,0,801,653,97,750,216,532,2,0,345,150,0,0,195
4,IR-E-U-0197.pdf,2019,643,2662,1283,1376,3,909,1266,263,1783,14,115,238,61,299,151,148,0,62,72,40,56,0,38
5,IR-E-I-1356.pdf,943,218,1161,235,916,10,16,399,361,33,19,2,231,86,317,122,193,2,14,22,21,9,3,3
6,IR-E-I-1480.pdf,6028,1792,7820,3288,4420,112,60,464,20,384,7,113,268,204,472,130,338,4,165,18,0,180,0,3
7,IR-E-U-0613.pdf,532,110,642,293,349,0,335,303,235,285,0,118,78,32,110,92,18,0,7,80,26,0,0,61
8,IR-E-U-0055.pdf,2516,520,3036,1467,1503,66,412,1542,55,1355,4,540,381,98,479,81,392,6,4,151,6,85,0,64
9,IR-E-U-0489.pdf,7191,1253,8444,889,7340,215,1632,3701,18,3265,0,2050,196,30,226,157,63,6,34,152,10,0,0,176
10,IR-E-U-0615.pdf,499,102,601,227,374,0,75,466,146,350,4,41,68,20,88,10,78,0,19,49,27,20,0,21
11,IR-E-C-1400.pdf,2997,1451,4448,4034,414,0,700,956,716,57,0,883,70,67,137,133,4,0,5,61,2,0,0,64
12,IR-E-U-0130.pdf,1213,185,1398,1164,188,46,281,449,476,93,0,161,300,161,461,328,133,0,125,43,14,134,0,20
13,IR-E-U-0620.pdf,464,106,570,172,374,24,41,292,187,0,0,146,100,25,125,5,120,0,0,74,26,0,0,48
14,IR-E-U-0011.pdf,10077,3860,13937,8482,5422,33,0,6184,0,28,0,6156,126,59,185,100,74,11,0,98,0,5,0,93
15,IR-E-I-1093.pdf,3449,895,4344,2328,2016,0,1026,1602,951,233,1,1443,67,61,128,65,63,0,21,27,21,2,0,25
16,IR-E-C-33777.pdf,2276,664,2940,2898,42,0,440,73,146,6,17,344,18,7,25,20,5,0,0,0,0,0,0,0
17,IR-E-U-0685.pdf,0,1784,1784,1510,274,0,98,751,95,0,0,754,0,128,128,92,36,0,2,26,1,0,0,27
18,IR-E-U-0207.pdf,2230,432,2662,1313,1323,26,997,1451,1058,0,0,1390,382,142,524,84,440,0,37,278,96,0,0,219
19,IR-E-U-0530.pdf,3356,599,3955,1845,1998,112,236,1811,50,1900,18,79,806,177,983,530,453,0,67,429,0,101,0,395
20,IR-E-U-0108.pdf,1229,237,1466,193,1158,115,1174,163,974,160,176,27,198,116,314,81,223,10,239,43,136,92,49,5
21,IR-E-C-1345.pdf,1071,1703,2774,2536,238,0,506,2165,1984,0,87,600,25,57,82,82,0,0,16,56,45,0,16,11
22,IR-E-U-0454.pdf,3018,999,4017,2397,1537,83,1711,448,19,760,7,1373,71,35,106,74,29,3,30,26,0,8,0,48
23,IR-E-U-0747.pdf,6411,6573,12984,393,11604,987,2298,2487,754,3278,6,747,146,173,319,15,214,90,21,39,17,36,0,7
24,IR-E-U-0373.pdf,4288,1531,5819,2152,3655,12,159,573,51,103,4,574,35,32,67,29,38,0,47,11,6,47,0,5
25,IR-E-S-8898.pdf,428,174,602,71,531,0,31,274,38,30,0,237,98,53,151,28,123,0,9,75,13,16,0,55
26,IR-E-U-0163.pdf,1043,286,1329,798,528,3,187,114,9,111,0,181,30,13,43,26,17,0,8,3,0,5,0,6
27,IR-E-C-1269.pdf,3684,1245,4929,3520,1388,21,207,1056,357,0,102,804,354,253,607,575,32,0,0,154,78,0,6,70
28,IR-E-C-16504.pdf,1978,1244,3222,2475,391,356,1567,1655,2789,308,85,40,88,21,109,98,8,3,49,60,0,97,5,7
