,CollegeID,UG4_2021,UG4_2020,UG4_2019,UG4_2018,UG4_2017,UG4_2016,PG2_2021,PG2_2020,PG2_2019,PG2_2018,PG2_2017,PG2_2016
0,IR-E-C-1412.pdf,1060,1060,970,970,-,-,241,259,-,-,-,-
1,IR-E-U-0064.pdf,427,361,250,225,-,-,196,172,-,-,-,-
2,IR-E-C-16604.pdf,780,780,960,900,-,-,180,180,-,-,-,-
3,IR-E-U-0149.pdf,991,910,844,818,-,-,570,466,-,-,-,-
4,IR-E-U-0197.pdf,778,672,672,632,-,-,163,163,-,-,-,-
5,IR-E-I-1356.pdf,330,330,300,300,-,-,162,162,-,-,-,-
6,IR-E-I-1480.pdf,2395,2265,1865,1625,-,-,408,390,-,-,-,-
7,IR-E-U-0613.pdf,180,180,180,180,-,-,75,75,-,-,-,-
8,IR-E-U-0055.pdf,825,825,660,632,-,-,308,308,-,-,-,-
9,IR-E-U-0489.pdf,2220,2400,2400,2400,-,-,354,354,-,-,-,-
10,IR-E-U-0615.pdf,190,190,190,210,-,-,90,80,-,-,-,-
11,IR-E-C-1400.pdf,1140,1020,900,900,-,-,164,218,-,-,-,-
12,IR-E-U-0130.pdf,390,360,330,330,-,-,282,222,-,-,-,-
13,IR-E-U-0620.pdf,188,188,164,104,-,-,68,60,-,-,-,-
14,IR-E-U-0011.pdf,4620,4800,3120,4320,-,-,324,456,-,-,-,-
15,IR-E-I-1093.pdf,1440,1200,1260,1380,-,-,105,105,-,-,-,-
16,IR-E-C-33777.pdf,660,630,630,630,-,-,54,54,-,-,-,-
17,IR-E-U-0685.pdf,692,469,382,382,-,-,111,111,-,-,-,-
18,IR-E-U-0207.pdf,751,667,657,601,-,-,432,346,-,-,-,-
19,IR-E-U-0530.pdf,1074,1006,954,886,-,-,595,528,-,-,-,-
20,IR-E-U-0108.pdf,350,350,350,350,-,-,155,158,-,-,-,-
21,IR-E-C-1345.pdf,820,820,670,670,-,-,102,102,-,-,-,-
22,IR-E-U-0454.pdf,1470,1740,1440,1555,-,-,162,168,-,-,-,-
23,IR-E-U-0747.pdf,3240,3240,3240,3240,-,-,162,162,-,-,-,-
24,IR-E-U-0373.pdf,2040,1470,1440,1200,-,-,18,45,45,-,-,-
25,IR-E-S-8898.pdf,180,169,180,180,-,-,90,80,-,-,-,-
26,IR-E-U-0163.pdf,390,420,330,300,-,-,30,36,-,-,-,-
27,IR-E-C-1269.pdf,1060,1060,1060,1060,-,-,324,342,-,-,-,-
28,IR-E-C-16504.pdf,900,780,1020,840,-,-,108,90,-,-,-,-
29,IR-E-I-1441.pdf,1320,1320,1320,1320,-,-,30,30,-,-,-,-
30,IR-E-C-24004.pdf,530,754,360,360,-,-,510,510,-,-,-,-
31,IR-E-C-19607.pdf,1200,1200,1200,1200,-,-,120,120,-,-,-,-
32,IR-E-C-33773.pdf,240,240,240,240,-,-,36,36,-,-,-,-
33,IR-E-C-26794.pdf,840,780,780,780,-,-,136,154,-,-,-,-
34,IR-E-C-19582.pdf,1200,1200,1200,1020,-,-,138,138,-,-,-,-
35,IR-E-U-0169.pdf,600,540,600,510,-,-,60,48,-,-,-,-
36,IR-E-C-43708.pdf,660,600,641,641,-,-,432,414,-,-,-,-
37,IR-E-U-0190.pdf,265,240,260,200,-,-,32,15,-,-,-,-
38,IR-E-U-0555.pdf,1110,1230,930,570,-,-,72,90,-,-,-,-
