,CollegeID,Projects_20_21,Projects_19_20,Projects_18_19,Organization_20_21,Organization_19_20,Organization_18_19,Amount_20_21,Amount_19_20,Amount_18_19
0,IR-E-C-1412.pdf,41,32,29,62,22,31,9479497,6046101,3232899
1,IR-E-U-0064.pdf,23,38,36,21,27,35,18782923,31758614,12998327
2,IR-E-C-16604.pdf,33,33,31,33,33,25,9946381,15140694,16459038
3,IR-E-U-0149.pdf,255,337,443,186,236,262,68575790,101718848,121482801
4,IR-E-U-0197.pdf,75,80,71,42,80,43,15145258,10428484,9501618
5,IR-E-I-1356.pdf,4,5,4,4,5,4,4505400,656750,5104500
6,IR-E-I-1480.pdf,55,66,67,47,57,66,27561586,26575254,13366325
7,IR-E-U-0613.pdf,4,6,22,4,3,22,238154,1177235,1185744
8,IR-E-U-0055.pdf,206,236,195,47,95,91,20201865,6295105,4888965
9,IR-E-U-0489.pdf,18,26,53,10,4,13,6622416,17731479,18577713
10,IR-E-U-0615.pdf,5,4,3,5,2,2,508385,51530,259600
11,IR-E-C-1400.pdf,995,1159,1320,24,21,28,3972632,3469191,3800580
12,IR-E-U-0130.pdf,3,2,2,3,2,2,874840,672000,3950549
13,IR-E-U-0620.pdf,0,0,0,0,0,0,0,0,0
14,IR-E-U-0011.pdf,8,15,9,8,15,9,984030,1526100,1268432
15,IR-E-I-1093.pdf,20,7,4,16,6,4,48568388,17498969,13553000
16,IR-E-C-33777.pdf,10,10,15,8,9,15,3650000,13274362,7363000
17,IR-E-U-0685.pdf,29,3,1,27,1,1,3835059,427000,72000
18,IR-E-U-0207.pdf,3,6,0,2,4,0,1572384,2219700,0
19,IR-E-U-0530.pdf,68,124,154,55,85,88,4374620,6870369,15226082
20,IR-E-U-0108.pdf,437,448,314,149,142,125,197866116,82425310,63343750
21,IR-E-C-1345.pdf,490,43,183,490,43,128,43928757,80796206,45608974
22,IR-E-U-0454.pdf,35,25,23,35,55,25,2149340,1535950,1077190
23,IR-E-U-0747.pdf,18,16,15,7,6,5,11351680,1241000,9686632
24,IR-E-U-0373.pdf,36,48,45,32,43,39,56512460,39456900,31256500
25,IR-E-S-8898.pdf,38,31,8,38,28,7,50058721,19940075,6554640
26,IR-E-U-0163.pdf,12,11,16,10,13,8,14892472,26000000,28000000
27,IR-E-C-1269.pdf,4,4,4,4,4,4,594222,2134000,1586072
28,IR-E-C-16504.pdf,2,9,8,2,9,8,675000,1516128,754064
29,IR-E-I-1441.pdf,47,45,59,27,36,32,18386026,27401672,20356368
30,IR-E-C-24004.pdf,23,18,17,19,16,15,2930000,2928000,2245000
31,IR-E-C-19607.pdf,65,73,63,59,43,30,41314765,16455315,16400000
32,IR-E-C-33773.pdf,185,188,181,185,188,181,65660619,48979667,45157600
33,IR-E-C-26794.pdf,21,15,4,3,4,3,12173349,9532974,7614770
34,IR-E-C-19582.pdf,4,6,3,3,4,3,674300,997700,862000
35,IR-E-U-0169.pdf,5,3,9,5,3,9,385000,350000,1270500
36,IR-E-C-43708.pdf,93,115,115,76,105,96,12694629,13536641,11954830
37,IR-E-U-0190.pdf,8,2,5,7,1,4,3002000,1353000,1250000
38,IR-E-U-0555.pdf,23,16,13,9,13,12,7701492,1857571,6062614
39,IR-E-U-0619.pdf,589,582,608,87,93,148,31995971,33968361,33787935
40,IR-E-U-0147.pdf,1,2,4,1,2,3,1426831,1466175,2995623
41,IR-E-C-37065.pdf,27,11,7,3,11,7,21900000,7735000,8520000
42,IR-E-C-7252.pdf,26,51,59,10,18,16,1104452,16639188,6466475
43,IR-E-U-0020.pdf,11,50,28,9,38,15,7772933,58138914,10218176
44,IR-E-C-18886.pdf,527,401,456,268,133,294,3943793,4430015,3569531
45,IR-E-U-0878.pdf,1138,1367,1413,591,737,942,2074824,2572938,3269339
46,IR-E-U-0765.pdf,169,90,152,169,90,63,14945528,13687116,14129226
47,IR-E-C-36969.pdf,8,33,15,5,21,8,72816,2152705,3010484
48,IR-E-U-0439.pdf,12,8,7,11,7,7,3240702,1775628,1257566
49,IR-E-C-18010.pdf,1267,972,404,69,45,30,13124518,8009365,9011711
50,IR-E-U-0172.pdf,30,30,30,112,165,120,8725072,11526917,11500000
51,IR-E-U-0493.pdf,630,1622,1300,347,775,663,238587545,285794972,303403707
52,IR-E-U-0223.pdf,1410,2196,2670,95,847,679,15280399,23788254,29355859
53,IR-E-C-19650.pdf,1576,2043,1905,2000,2000,2000,66654878,73586056,70660957
54,IR-E-U-0105.pdf,49,131,106,26,22,35,6602250,5806639,3069244
55,IR-E-U-0535.pdf,24,137,173,24,58,73,22588105,47564129,38659743
56,IR-E-U-0564.pdf,11,9,17,7,7,12,1855600,1812470,2568000
57,IR-E-U-0384.pdf,7,15,20,6,15,20,6000000,8712169,6519979
58,IR-E-U-0621.pdf,10,7,0,4,3,0,10941470,6467736,0
59,IR-E-C-37064.pdf,55,53,76,29,37,64,13276028,12130477,20811484
60,IR-E-C-6379.pdf,3,3,1,3,3,1,208000,138397,129594
61,IR-E-U-0491.pdf,8,4,9,3,4,6,270740,138200,864500
62,IR-E-U-0017.pdf,27,23,15,25,23,15,23138524,10131850,7964800
63,IR-E-U-0844.pdf,51,84,52,47,62,41,7610290,7636100,5654640
64,IR-E-U-0938.pdf,1,0,0,1,0,0,6426216,0,0
65,IR-E-C-1336.pdf,8,5,34,8,5,32,3300100,1617455,1110160
66,IR-E-U-0168.pdf,133,99,75,96,59,40,209598692,200247811,177030621
67,IR-E-U-0334.pdf,34,22,6,29,20,6,25224343,5054004,781500
68,IR-E-C-18254.pdf,14,10,11,13,9,10,2470743,7453046,4380509
69,IR-E-U-0749.pdf,29,40,32,29,40,32,373298,322586,281790
70,IR-E-U-0072.pdf,90,73,57,52,43,43,3990657,7654697,2755111
71,IR-E-U-0643.pdf,344,647,862,278,352,557,177815297,154652093,208339885
72,IR-E-U-0474.pdf,48,43,22,40,34,21,12390062,6192326,5482599
73,IR-E-U-0237.pdf,3,3,4,3,3,4,2957880,2752324,1323320
74,IR-E-C-42227.pdf,1021,1225,906,220,279,200,78126093,68679468,53233379
75,IR-E-U-0460.pdf,30,21,7,5,7,5,16030300,14670500,3448900
76,IR-E-C-18817.pdf,86,85,79,51,49,44,28275000,27085000,25344000
77,IR-E-C-36975.pdf,606,316,280,337,281,243,148151968,85651056,16493888
78,IR-E-U-0614.pdf,6,33,24,5,24,21,1332890,1276000,1187000
79,IR-E-U-0774.pdf,296,271,416,218,173,235,5546574,21273566,7100513
80,IR-E-U-0202.pdf,48,49,49,46,37,40,11980965,26089614,10823645
81,IR-E-C-27058.pdf,75,120,138,52,80,86,4841055,19698164,11946980
82,IR-E-C-16614.pdf,0,1,3,0,1,3,0,100000,350000
83,IR-E-U-0410.pdf,1,15,6,1,7,3,5310,425470,2761900
84,IR-E-C-6581.pdf,62,275,362,45,123,99,4677439,11178125,8117773
85,IR-E-C-46111.pdf,46,51,77,33,44,52,318088,501550,562546
86,IR-E-U-0273.pdf,168,175,82,79,86,38,6682875,5245070,4581652
87,IR-E-C-16626.pdf,298,236,240,265,218,221,136922298,80848025,102116996
88,IR-E-U-0513.pdf,17,48,44,21,45,42,22309794,7989910,5167344
89,IR-E-C-45375.pdf,9,3,3,9,3,3,2175012,3745771,4867332
90,IR-E-C-19667.pdf,39,30,41,39,24,37,15656968,9055923,6194343
91,IR-E-U-0175.pdf,41,35,21,58,47,18,36572408,29685900,18468540
92,IR-E-U-0616.pdf,7,17,20,7,14,16,6819200,3224230,3164300
93,IR-E-I-1015.pdf,69,26,31,69,26,31,16824960,10072183,2237800
94,IR-E-I-1075.pdf,33,35,11,5,6,5,8976153,10890102,2148001
95,IR-E-U-0363.pdf,24,39,31,40,48,45,30315816,27340276,31710613
96,IR-E-C-17958.pdf,15,8,3,13,8,3,2157120,969973,3155000
97,IR-E-C-27089.pdf,7,3,9,6,3,9,524864,719930,1213860
98,IR-E-U-0043.pdf,56,61,88,108,45,82,15531465,21472534,18190380
99,IR-E-C-41593.pdf,375,315,246,126,191,123,241883900,310320800,270496000
100,IR-E-C-35417.pdf,94,55,73,35,21,29,87176000,57639000,44634000
101,IR-E-U-0249.pdf,19,21,19,19,21,12,114550000,103159000,38185500
102,IR-E-C-1371.pdf,70,124,159,39,25,38,7494390,12230800,18050000
103,IR-E-U-0795.pdf,52,16,28,19,10,15,705400,236600,2244950
104,IR-E-C-19747.pdf,209,233,4,111,233,4,59358000,23856800,10762000
105,IR-E-U-0025.pdf,125,128,69,108,128,62,10706350,11881500,9523000
106,IR-E-U-0467.pdf,474,546,442,416,515,411,91608047,94040000,104618000
107,IR-E-C-30045.pdf,7,8,7,6,7,7,3519480,3230000,2930000
108,IR-E-C-1406.pdf,7,6,1,7,6,1,11500000,10072000,20000
109,IR-E-U-0473.pdf,158,112,108,158,84,57,10448804,11880000,11657100
110,IR-E-C-26929.pdf,6,6,4,6,6,4,2300000,3545000,1081000
111,IR-E-U-0391.pdf,2,5,8,2,5,7,7366089,3128000,5430000
112,IR-E-C-1262.pdf,103,115,374,91,86,322,14255857,9217748,32725268
113,IR-E-U-0053.pdf,24,48,36,11,12,10,197466103,361228799,340618446
114,IR-E-U-0356.pdf,18,20,20,18,24,15,34578847,64898212,35682749
115,IR-E-C-1331.pdf,6,4,3,6,4,3,4269900,2834000,2500000
116,IR-E-U-0445.pdf,18,14,14,15,11,12,1214783,2041119,1003700
117,IR-E-U-0436.pdf,120,217,133,93,177,103,7544775,20063748,18188135
118,IR-E-U-0575.pdf,4,4,3,1,4,3,22566376,3165306,3023500
119,IR-E-U-0263.pdf,2,3,0,2,1,0,150000,230000,0
120,IR-E-C-43264.pdf,12,19,8,11,13,8,10273555,9805795,6694803
121,IR-E-U-0604.pdf,86,117,90,48,72,52,10662851,7150230,5554629
122,IR-E-C-33641.pdf,167,150,167,135,139,157,89000000,107000000,73300000
123,IR-E-C-19534.pdf,39,43,15,14,15,15,31850903,11913904,66678542
124,IR-E-C-25622.pdf,27,11,12,27,11,12,5088530,13879630,11966400
125,IR-E-U-0389.pdf,71,29,63,60,29,38,11621500,32802170,11995000
126,IR-E-U-0374.pdf,27,76,6,19,41,135,41511155,43662217,24603048
127,IR-E-C-37028.pdf,117,71,114,47,27,40,548289485,221030068,361427487
128,IR-E-C-42054.pdf,1146,1656,2668,753,840,1084,120390748,126122122,206698100
129,IR-E-U-0496.pdf,347,11,16,286,11,16,9650540,11483798,12493000
130,IR-E-U-0507.pdf,1,2,2,1,2,2,399959,674650,1052083
131,IR-E-C-1352.pdf,4,4,3,4,4,3,1889126,996150,6999000
132,IR-E-C-27616.pdf,728,1465,1251,408,625,613,77619793,113093177,104673145
133,IR-E-U-0622.pdf,6,14,4,5,3,4,6153390,5697500,3127956
134,IR-E-U-0733.pdf,4,17,11,4,13,11,2223000,9090000,8959500
135,IR-E-C-19754.pdf,3,4,12,3,3,11,620849,848196,1290216
136,IR-E-U-0286.pdf,5,2,1,4,2,1,14200000,20000000,10600000
137,IR-E-U-0217.pdf,89,97,141,79,83,90,6492583,4722277,39900000
138,IR-E-C-16547.pdf,492,410,525,282,257,407,18969216,23186586,24215941
139,IR-E-C-16576.pdf,2,2,4,2,2,4,10806,68500,62000
140,IR-E-U-0284.pdf,108,71,35,52,40,61,34578039,20372779,12750133
141,IR-E-U-0080.pdf,84,190,233,18,9,43,2535575,2296005,3120425
142,IR-E-U-0098.pdf,16,51,22,11,30,19,4637273,4813942,4746601
143,IR-E-C-30153.pdf,185,212,201,45,56,52,142188000,73002050,62144000
144,IR-E-U-0458.pdf,2,0,0,2,0,0,82600,0,0
145,IR-E-C-10342.pdf,9,23,50,7,18,29,32076025,24742486,11146481
146,IR-E-C-1297.pdf,0,0,32,0,0,27,0,0,1976258
147,IR-E-C-16560.pdf,7,11,10,7,11,8,137490,3967722,3450531
