,CollegeID,Number of faculty members entered
0,IR-E-C-1412.pdf,281
1,IR-E-U-0064.pdf,126
2,IR-E-C-16604.pdf,268
3,IR-E-U-0149.pdf,295
4,IR-E-U-0197.pdf,235
5,IR-E-C-1412.pdf,144
6,IR-E-U-0064.pdf,523
7,IR-E-C-16604.pdf,73
8,IR-E-U-0149.pdf,210
9,IR-E-U-0197.pdf,685
10,IR-E-I-1356.pdf,86
11,IR-E-I-1480.pdf,301
12,IR-E-U-0613.pdf,117
13,IR-E-U-0055.pdf,51
14,IR-E-U-0489.pdf,996
15,IR-E-U-0615.pdf,419
16,IR-E-C-1400.pdf,189
17,IR-E-U-0130.pdf,152
18,IR-E-U-0620.pdf,161
19,IR-E-U-0011.pdf,258
20,IR-E-I-1093.pdf,131
21,IR-E-C-33777.pdf,258
22,IR-E-U-0685.pdf,638
23,IR-E-U-0207.pdf,1002
24,IR-E-U-0530.pdf,437
25,IR-E-U-0108.pdf,51
26,IR-E-C-1345.pdf,107
27,IR-E-U-0454.pdf,343
28,IR-E-U-0747.pdf,292
29,IR-E-U-0373.pdf,381
30,IR-E-S-8898.pdf,189
31,IR-E-U-0163.pdf,455
32,IR-E-C-1269.pdf,71
33,IR-E-C-16504.pdf,346
34,IR-E-I-1441.pdf,396
35,IR-E-C-24004.pdf,161
36,IR-E-C-19607.pdf,267
37,IR-E-C-33773.pdf,71
38,IR-E-C-26794.pdf,292
39,IR-E-C-19582.pdf,85
40,IR-E-U-0169.pdf,235
41,IR-E-C-43708.pdf,549
42,IR-E-U-0190.pdf,652
43,IR-E-U-0555.pdf,978
44,IR-E-U-0619.pdf,236
45,IR-E-U-0147.pdf,101
46,IR-E-C-37065.pdf,60
47,IR-E-C-7252.pdf,247
48,IR-E-U-0020.pdf,940
49,IR-E-C-18886.pdf,351
50,IR-E-U-0878.pdf,226
51,IR-E-U-0765.pdf,208
52,IR-E-C-36969.pdf,417
53,IR-E-U-0439.pdf,385
54,IR-E-C-18010.pdf,111
55,IR-E-U-0172.pdf,57
56,IR-E-U-0493.pdf,512
57,IR-E-U-0223.pdf,174
58,IR-E-C-19650.pdf,71
59,IR-E-U-0105.pdf,348
60,IR-E-U-0535.pdf,317
61,IR-E-U-0564.pdf,199
62,IR-E-U-0384.pdf,390
63,IR-E-U-0621.pdf,107
64,IR-E-C-37064.pdf,426
65,IR-E-C-6379.pdf,174
66,IR-E-U-0491.pdf,150
67,IR-E-U-0017.pdf,240
68,IR-E-U-0844.pdf,274
69,IR-E-U-0938.pdf,390
70,IR-E-C-1336.pdf,184
71,IR-E-U-0168.pdf,370
72,IR-E-U-0334.pdf,965
73,IR-E-C-18254.pdf,329
74,IR-E-U-0749.pdf,267
75,IR-E-U-0072.pdf,387
76,IR-E-U-0643.pdf,295
77,IR-E-U-0474.pdf,166
78,IR-E-U-0237.pdf,107
79,IR-E-C-42227.pdf,225
80,IR-E-U-0460.pdf,259
81,IR-E-C-18817.pdf,270
82,IR-E-C-36975.pdf,293
83,IR-E-U-0614.pdf,281
84,IR-E-U-0774.pdf,161
85,IR-E-U-0202.pdf,368
86,IR-E-C-27058.pdf,171
87,IR-E-C-16614.pdf,492
88,IR-E-U-0410.pdf,376
89,IR-E-C-6581.pdf,45
90,IR-E-C-46111.pdf,392
91,IR-E-U-0273.pdf,185
92,IR-E-C-16626.pdf,74
93,IR-E-U-0513.pdf,317
94,IR-E-C-45375.pdf,524
95,IR-E-C-19667.pdf,604
96,IR-E-U-0175.pdf,244
97,IR-E-U-0616.pdf,212
98,IR-E-I-1015.pdf,545
99,IR-E-I-1075.pdf,275
100,IR-E-U-0363.pdf,233
101,IR-E-C-17958.pdf,67
102,IR-E-C-27089.pdf,363
103,IR-E-U-0043.pdf,49
104,IR-E-C-41593.pdf,454
105,IR-E-C-35417.pdf,378
106,IR-E-U-0249.pdf,344
107,IR-E-C-1371.pdf,398
108,IR-E-U-0795.pdf,275
109,IR-E-C-19747.pdf,1467
110,IR-E-U-0025.pdf,485
111,IR-E-U-0467.pdf,612
112,IR-E-C-30045.pdf,358
113,IR-E-C-1406.pdf,475
114,IR-E-U-0473.pdf,1004
115,IR-E-C-26929.pdf,356
116,IR-E-U-0391.pdf,340
117,IR-E-C-1262.pdf,803
118,IR-E-U-0053.pdf,428
119,IR-E-U-0356.pdf,344
120,IR-E-C-1331.pdf,50
121,IR-E-U-0445.pdf,68
122,IR-E-U-0436.pdf,236
123,IR-E-U-0575.pdf,421
124,IR-E-U-0263.pdf,346
125,IR-E-C-43264.pdf,263
126,IR-E-U-0604.pdf,343
127,IR-E-C-33641.pdf,342
128,IR-E-C-19534.pdf,85
129,IR-E-C-25622.pdf,227
130,IR-E-U-0389.pdf,130
131,IR-E-U-0374.pdf,271
132,IR-E-C-37028.pdf,136
133,IR-E-C-42054.pdf,41
134,IR-E-U-0496.pdf,347
135,IR-E-U-0507.pdf,239
136,IR-E-C-1352.pdf,271
137,IR-E-C-27616.pdf,163
138,IR-E-U-0622.pdf,379
139,IR-E-U-0733.pdf,217
140,IR-E-C-19754.pdf,465
141,IR-E-U-0286.pdf,165
142,IR-E-U-0217.pdf,862
143,IR-E-C-16547.pdf,162
144,IR-E-C-16576.pdf,409
145,IR-E-U-0284.pdf,410
146,IR-E-U-0080.pdf,282
147,IR-E-U-0098.pdf,323
