,CollegeID,PG_Intake_2017_18,PG_Intake_2018_19,PG_Intake_2019_20,PG_Admitted_2017_18,PG_Admitted_2018_19,PG_Admitted_2019_20,PG_Graduate_2018_19,PG_Graduate_2019_20,PG_Graduate_2020_21,PG_Placed_2018_19,PG_Placed_2019_20,PG_Placed_2020_21,PG_Salary_2018_19,PG_Salary_2019_20,PG_Salary_2020_21,PG_HighStudies_2018_19,PG_HighStudies_2019_20,PG_HighStudies_2020_21
0,IR-E-C-1412.pdf,331,331,259,168,208,186,153,198,177,119,136,101,558000,600000,650000,10,5,10
1,IR-E-U-0064.pdf,185,185,172,94,108,108,75,93,90,28,43,42,1000000,950000,1150000,8,5,7
2,IR-E-C-16604.pdf,252,216,180,93,89,45,71,81,44,62,68,30,440000,450000,460000,5,3,11
3,IR-E-U-0149.pdf,425,425,466,310,294,354,257,262,299,106,89,80,550000,586000,690000,32,44,56
4,IR-E-U-0197.pdf,163,163,163,132,133,123,124,123,116,56,38,34,530000,580000,555000,36,31,28
5,IR-E-C-1412.pdf,162,162,162,158,160,157,146,147,149,120,68,41,545000,520000,504000,16,45,96
6,IR-E-U-0064.pdf,390,390,390,247,166,186,244,161,176,95,58,48,800000,800000,740000,130,75,76
7,IR-E-C-16604.pdf,145,75,75,101,55,43,88,52,43,0,8,8,0,700000,600000,0,14,7
8,IR-E-U-0149.pdf,250,270,308,222,216,204,185,188,179,103,75,85,525000,530000,650000,75,76,81
9,IR-E-U-0197.pdf,324,354,354,220,118,115,124,74,102,93,70,90,500000,500000,500000,5,2,3
10,IR-E-I-1356.pdf,140,100,80,59,28,31,54,26,27,16,7,3,440000,940000,650000,10,19,8
11,IR-E-I-1480.pdf,218,218,218,91,79,72,82,73,68,33,7,12,350000,750000,360000,1,0,3
12,IR-E-U-0613.pdf,220,220,222,199,212,208,171,194,171,151,146,162,600000,700000,700000,20,48,9
13,IR-E-U-0055.pdf,60,60,60,45,50,59,40,36,45,25,25,31,520000,600000,750000,8,10,5
14,IR-E-U-0489.pdf,110,108,456,88,84,62,82,81,60,73,72,49,380000,440000,440000,4,4,5
15,IR-E-U-0615.pdf,66,156,105,3,5,32,3,5,32,3,5,32,370000,371000,404000,0,0,0
16,IR-E-C-1400.pdf,54,54,54,16,19,14,4,12,8,3,6,6,353000,410000,550000,0,1,0
17,IR-E-U-0130.pdf,128,128,111,96,50,62,93,46,60,17,21,25,925000,950000,1000000,1,6,28
18,IR-E-U-0620.pdf,346,346,346,261,262,231,256,220,217,40,50,45,500000,800000,700000,42,68,75
19,IR-E-U-0011.pdf,475,475,528,410,396,439,301,303,367,84,101,104,675000,900000,1065000,98,185,53
20,IR-E-I-1093.pdf,125,125,158,125,125,158,119,125,158,76,73,98,700000,600000,660000,37,35,49
21,IR-E-C-33777.pdf,186,102,102,144,65,70,140,65,69,105,48,40,315000,320000,450000,25,17,20
22,IR-E-U-0685.pdf,100,150,168,76,74,27,76,68,25,54,46,18,398000,340000,450000,8,6,4
23,IR-E-U-0207.pdf,234,180,162,175,161,158,171,134,146,144,91,97,565000,572000,600000,27,43,49
24,IR-E-U-0530.pdf,54,54,45,17,23,30,0,0,0,2018-19,2019-20,2020-21,17,13,23,11,13,23
25,IR-E-U-0108.pdf,90,90,80,81,90,70,77,88,62,72,53,33,522000,517000,525000,5,3,12
26,IR-E-C-1345.pdf,36,36,36,24,12,17,12,9,15,6,1,5,425000,500000,510000,6,6,7
27,IR-E-U-0454.pdf,414,378,342,353,326,330,299,243,277,164,160,149,600000,650000,680000,4,2,3
28,IR-E-U-0747.pdf,102,102,90,58,59,58,57,56,58,55,55,54,475000,480000,540000,1,1,4
29,IR-E-U-0373.pdf,30,30,30,30,30,30,28,29,28,22,25,25,450000,450000,450000,6,1,1
30,IR-E-S-8898.pdf,510,510,510,510,510,510,510,510,510,86,81,93,655000,400000,650000,34,22,67
31,IR-E-U-0163.pdf,150,204,120,97,112,86,78,81,54,20,24,19,350000,420000,420000,0,0,0
32,IR-E-C-1269.pdf,36,36,36,27,18,22,27,18,17,7,12,8,622000,360000,750000,0,0,1
33,IR-E-C-16504.pdf,251,251,154,161,161,107,154,154,101,59,42,30,360000,400000,400000,9,2,5
34,IR-E-I-1441.pdf,222,175,138,142,99,63,106,81,46,76,62,32,350000,300000,360000,2,3,3
35,IR-E-C-24004.pdf,66,114,48,39,56,43,38,55,42,31,46,36,450000,420000,425000,1,1,1
36,IR-E-C-19607.pdf,414,414,414,406,404,402,372,362,366,133,204,232,400000,500000,525000,17,8,7
37,IR-E-C-33773.pdf,30,50,15,28,45,14,26,41,14,1,5,5,350000,375000,328000,21,15,6
38,IR-E-C-26794.pdf,80,90,90,51,83,62,38,32,44,22,22,26,350000,375000,550000,14,6,8
39,IR-E-C-19582.pdf,75,100,100,59,56,40,57,56,37,6,24,10,450000,550000,625000,24,20,20
40,IR-E-U-0169.pdf,144,144,216,106,130,178,105,129,169,34,71,29,300000,420000,360000,6,8,3
41,IR-E-C-43708.pdf,309,309,309,78,102,77,72,97,60,53,57,32,332000,365000,410000,9,2,2
42,IR-E-U-0190.pdf,514,556,613,409,504,529,360,398,390,168,210,214,700000,600000,750000,12,16,7
43,IR-E-U-0555.pdf,278,372,540,278,354,401,242,316,392,117,106,153,450000,450000,450000,54,58,63
44,IR-E-U-0619.pdf,126,126,126,91,74,63,73,68,53,55,47,39,300000,365000,370000,5,4,1
45,IR-E-U-0147.pdf,0,9,39,0,9,33,0,8,33,0,0,15,0,0,650000,0,7,8
46,IR-E-C-37065.pdf,30,30,45,30,24,13,23,16,7,6,3,2,240000,240000,280000,2,1,0
