,CollegeID,Total_Phd_FT,Total_Phd_PT,Graduate_FT_20_21,Graduate_FT_19_20,Graduate_FT_18_19,Graduate_PT_20_21,Graduate_PT_19_20,Graduate_PT_18_19
0,IR-E-C-1412.pdf,40,124,9,7,6,17,38,34
1,IR-E-U-0064.pdf,509,68,38,49,38,8,5,2
2,IR-E-C-16604.pdf,243,242,32,26,24,36,39,20
3,IR-E-U-0149.pdf,534,324,43,42,32,38,43,51
4,IR-E-U-0197.pdf,224,28,45,19,26,4,2,4
5,IR-E-I-1356.pdf,162,0,39,21,11,0,0,0
6,IR-E-I-1480.pdf,556,127,69,78,35,22,40,42
7,IR-E-U-0613.pdf,135,25,16,12,6,3,3,2
8,IR-E-U-0055.pdf,501,140,52,37,54,16,11,18
9,IR-E-U-0489.pdf,73,307,4,1,1,35,32,19
10,IR-E-U-0615.pdf,77,91,6,8,1,6,4,2
11,IR-E-C-1400.pdf,7,55,1,0,1,5,4,0
12,IR-E-U-0130.pdf,50,12,9,5,4,2,1,4
13,IR-E-U-0620.pdf,61,21,16,6,3,0,0,0
14,IR-E-U-0011.pdf,85,755,14,6,7,59,33,36
15,IR-E-I-1093.pdf,0,0,0,0,0,0,0,0
16,IR-E-C-33777.pdf,30,0,11,3,2,0,0,0
17,IR-E-U-0685.pdf,93,52,9,6,2,4,3,2
18,IR-E-U-0207.pdf,198,131,12,14,20,6,4,7
19,IR-E-U-0530.pdf,449,122,84,75,40,15,17,17
20,IR-E-U-0108.pdf,348,0,53,37,44,0,0,0
21,IR-E-C-1345.pdf,168,7,36,21,27,4,2,0
22,IR-E-U-0454.pdf,94,328,5,3,7,29,20,27
23,IR-E-U-0747.pdf,468,141,77,16,12,36,26,14
24,IR-E-U-0373.pdf,87,166,10,4,0,15,18,7
25,IR-E-S-8898.pdf,102,7,4,13,8,0,0,0
26,IR-E-U-0163.pdf,50,44,3,1,1,6,6,5
27,IR-E-C-1269.pdf,22,291,1,2,2,28,34,10
28,IR-E-C-16504.pdf,23,23,3,2,0,2,2,0
29,IR-E-I-1441.pdf,51,238,3,1,1,10,8,5
30,IR-E-C-24004.pdf,101,112,63,52,33,83,84,72
31,IR-E-C-19607.pdf,2,14,0,0,0,0,0,0
32,IR-E-C-33773.pdf,54,0,0,1,4,0,0,0
33,IR-E-C-26794.pdf,97,130,19,21,13,38,40,17
34,IR-E-C-19582.pdf,1,2,0,0,0,5,0,0
35,IR-E-U-0169.pdf,55,96,11,7,3,18,9,9
36,IR-E-C-43708.pdf,113,87,6,1,11,7,9,3
37,IR-E-U-0190.pdf,108,0,19,13,2,0,0,0
38,IR-E-U-0555.pdf,54,173,16,5,3,38,16,7
39,IR-E-U-0619.pdf,103,59,13,6,6,5,1,3
40,IR-E-U-0147.pdf,80,93,9,12,6,23,24,6
41,IR-E-C-37065.pdf,18,180,6,1,3,24,15,17
42,IR-E-C-7252.pdf,182,7,19,19,15,2,1,0
43,IR-E-U-0020.pdf,223,493,48,34,21,80,78,47
44,IR-E-C-18886.pdf,5,24,1,0,0,9,9,7
45,IR-E-U-0878.pdf,89,12,1,0,0,0,0,0
46,IR-E-U-0765.pdf,53,19,4,3,0,1,0,0
47,IR-E-C-36969.pdf,56,139,4,4,6,35,28,25
48,IR-E-U-0439.pdf,1148,946,130,79,103,91,95,66
49,IR-E-C-18010.pdf,0,77,0,0,0,9,6,1
50,IR-E-U-0172.pdf,221,216,28,20,21,30,25,50
51,IR-E-U-0493.pdf,224,129,26,15,15,17,9,2
52,IR-E-U-0223.pdf,149,15,26,50,40,0,0,0
53,IR-E-C-19650.pdf,2,0,0,0,0,0,0,0
54,IR-E-U-0105.pdf,242,0,24,9,13,0,0,0
55,IR-E-U-0535.pdf,57,39,15,4,4,0,0,0
56,IR-E-U-0564.pdf,24,240,5,0,1,33,25,12
57,IR-E-U-0384.pdf,87,40,13,8,8,13,27,7
58,IR-E-U-0621.pdf,87,39,2,2,0,2,2,1
59,IR-E-C-37064.pdf,5,115,1,1,0,10,6,10
60,IR-E-C-6379.pdf,214,0,22,18,19,0,0,0
61,IR-E-U-0491.pdf,38,199,3,4,1,15,30,13
62,IR-E-U-0017.pdf,116,1849,18,20,16,271,303,262
63,IR-E-U-0844.pdf,112,0,1,0,0,0,0,0
64,IR-E-U-0938.pdf,183,0,6,1,0,0,0,0
65,IR-E-C-1336.pdf,3,46,1,0,0,1,3,1
66,IR-E-U-0168.pdf,113,148,11,1,5,5,5,14
67,IR-E-U-0334.pdf,459,35,45,56,80,4,5,20
68,IR-E-C-18254.pdf,1,43,0,0,0,24,25,16
69,IR-E-U-0749.pdf,58,193,5,0,1,17,18,9
70,IR-E-U-0072.pdf,301,653,31,26,15,4,6,15
71,IR-E-U-0643.pdf,55,155,2,1,3,6,2,2
72,IR-E-U-0474.pdf,301,679,29,26,31,105,108,81
73,IR-E-U-0237.pdf,711,223,104,114,99,16,19,17
74,IR-E-C-42227.pdf,54,0,9,18,7,0,0,0
75,IR-E-U-0460.pdf,93,279,8,10,9,28,49,19
76,IR-E-C-18817.pdf,0,46,0,0,0,17,33,36
77,IR-E-C-36975.pdf,39,101,15,9,10,28,18,17
78,IR-E-U-0614.pdf,47,17,0,1,0,6,0,0
79,IR-E-U-0774.pdf,48,89,5,6,12,8,4,5
80,IR-E-U-0202.pdf,300,47,27,18,48,24,12,22
81,IR-E-C-27058.pdf,32,156,6,0,12,24,22,17
82,IR-E-C-16614.pdf,5,114,0,0,0,25,14,14
83,IR-E-U-0410.pdf,540,293,59,53,59,31,30,21
84,IR-E-C-6581.pdf,44,30,16,24,18,23,29,34
85,IR-E-C-46111.pdf,5,20,0,1,0,2,1,0
86,IR-E-U-0273.pdf,500,19,71,77,80,2,1,1
87,IR-E-C-16626.pdf,77,169,16,16,12,48,37,23
88,IR-E-U-0513.pdf,64,179,2,4,0,12,8,4
89,IR-E-C-45375.pdf,50,0,6,3,2,0,0,0
90,IR-E-C-19667.pdf,9,0,0,0,0,0,0,0
91,IR-E-U-0175.pdf,45,79,5,7,5,0,13,14
92,IR-E-U-0616.pdf,73,70,1,2,0,0,2,0
93,IR-E-I-1015.pdf,69,0,5,5,2,0,0,0
94,IR-E-I-1075.pdf,1936,29,208,232,200,6,4,3
95,IR-E-U-0363.pdf,704,115,63,65,58,5,7,3
