,CollegeID,Sponsored_Projects_2020_21,Sponsored_Projects_2019_20,Sponsored_Projects_2018_19,FundingAgencies_2020_21,FundingAgencies_2019_20,FundingAgencies_2018_19,Total_Amount_2020_21,Total_Amount_2019_20,Total_Amount_2018_19
0,IR-E-C-1412.pdf,21,17,8,11,10,7,58500000,8739554,2585000
1,IR-E-U-0064.pdf,38,46,48,15,19,12,99813207,119236541,80193643
2,IR-E-C-16604.pdf,15,35,41,10,19,15,113502478,37249777,35580528
3,IR-E-U-0149.pdf,55,77,66,21,22,18,27526917,40814742,40613096
4,IR-E-U-0197.pdf,9,6,47,6,5,15,27174174,22235237,26635403
5,IR-E-I-1356.pdf,3,0,3,3,0,3,3276000,0,1500000
6,IR-E-I-1480.pdf,66,56,74,34,25,23,84804000,93013000,91044000
7,IR-E-U-0613.pdf,14,33,22,9,16,22,11893656,10506956,14023938
8,IR-E-U-0055.pdf,62,33,23,19,11,9,82823718,50198962,30849265
9,IR-E-U-0489.pdf,22,12,16,12,7,9,10184884,3208066,2211049
10,IR-E-U-0615.pdf,29,60,26,11,11,9,26137916,23813687,22322016
11,IR-E-C-1400.pdf,16,27,26,6,12,8,7862870,5724182,6707500
12,IR-E-U-0130.pdf,12,13,14,6,7,6,8493757,13751685,7281742
13,IR-E-U-0620.pdf,36,33,32,8,7,7,4158826,17646628,18766993
14,IR-E-U-0011.pdf,23,35,58,8,13,12,15339633,18986443,29416379
15,IR-E-I-1093.pdf,20,7,4,16,6,4,48568388,17498969,13553000
16,IR-E-C-33777.pdf,14,32,23,4,15,12,5758000,6462000,4987000
17,IR-E-U-0685.pdf,6,6,0,4,4,0,146801509,2219700,0
18,IR-E-U-0207.pdf,32,31,25,14,13,10,64524947,63924947,56049292
19,IR-E-U-0530.pdf,61,72,66,19,20,24,133323434,165590412,134807699
20,IR-E-U-0108.pdf,35,34,26,9,9,7,75460997,90650325,50786548
21,IR-E-C-1345.pdf,6,4,4,6,4,4,6050000,5341000,5500000
22,IR-E-U-0454.pdf,13,13,13,9,9,9,8757332,15349429,13998069
23,IR-E-U-0747.pdf,29,33,26,26,23,14,63663072,16760344,1822000
24,IR-E-U-0373.pdf,15,45,26,10,32,23,45022409,40195047,13223355
25,IR-E-S-8898.pdf,12,11,16,10,13,8,14892472,26000000,28000000
26,IR-E-U-0163.pdf,2,2,4,2,2,2,0,244000,2033000
27,IR-E-C-1269.pdf,30,18,17,21,7,8,58486341,10005711,17489813
28,IR-E-C-16504.pdf,8,5,5,2,2,2,8996000,4450400,4406800
29,IR-E-I-1441.pdf,0,0,0,0,0,0,0,0,0
30,IR-E-C-24004.pdf,11,12,8,12,15,6,37836235,23436067,74191264
31,IR-E-C-19607.pdf,21,15,4,3,4,3,12173349,9532974,7614770
32,IR-E-C-33773.pdf,0,16,10,0,2,3,0,315000,215000
33,IR-E-C-26794.pdf,17,26,30,13,18,17,13592977,85137423,136682448
34,IR-E-C-19582.pdf,6,10,6,2,2,5,2115900,1025000,1100000
35,IR-E-U-0169.pdf,50,78,79,6,7,8,9456000,10583000,17016000
36,IR-E-C-43708.pdf,20,28,36,15,15,16,28320062,27543785,29131490
37,IR-E-U-0190.pdf,4,2,5,2,2,3,1269854,1899232,2545292
38,IR-E-U-0555.pdf,43,64,6,11,27,6,6469460,1095118,36495000
39,IR-E-U-0619.pdf,24,24,14,12,14,7,22855282,17290141,13047706
40,IR-E-U-0147.pdf,33,67,30,11,27,7,27487675,60026221,60415260
41,IR-E-C-37065.pdf,58,59,23,17,25,13,15379593,24934000,14760438
42,IR-E-C-7252.pdf,47,102,117,21,67,80,18203425,32787813,46429080
43,IR-E-U-0020.pdf,139,109,84,16,12,9,73130000,67369541,65497000
44,IR-E-C-18886.pdf,6,1,0,3,1,0,3581645,180793,0
45,IR-E-U-0878.pdf,20,25,5,7,7,2,32350811,41532722,9779131
46,IR-E-U-0765.pdf,6,11,6,2,3,2,5729821,9395844,3809675
47,IR-E-C-36969.pdf,17,13,8,7,5,4,28875856,28111320,44651739
48,IR-E-U-0439.pdf,81,89,108,30,37,45,384600187,359671755,479369557
49,IR-E-C-18010.pdf,19,11,14,15,8,10,6444061,4437425,6713000
50,IR-E-U-0172.pdf,33,42,45,10,16,14,9075699,15531136,18520865
51,IR-E-U-0493.pdf,13,15,14,7,8,6,8098348,11823461,13501407
52,IR-E-U-0223.pdf,12,20,23,10,13,7,24980393,29634172,39811428
53,IR-E-C-19650.pdf,22,9,10,3,3,3,23346259,6633533,9342770
54,IR-E-U-0105.pdf,82,105,54,51,45,23,277500000,117203315,50098762
55,IR-E-U-0535.pdf,20,18,18,7,6,6,14944781,7615611,6664416
56,IR-E-U-0564.pdf,9,22,6,7,4,2,18409330,8800871,11602219
57,IR-E-U-0384.pdf,6,24,11,5,7,3,6749666,8409745,13069336
58,IR-E-U-0621.pdf,10,12,17,5,10,12,4378507,5964739,10664803
59,IR-E-C-37064.pdf,27,23,15,25,23,15,23138524,10131850,7964800
60,IR-E-C-6379.pdf,4,5,6,2,2,2,81097000,5933250,4533000
61,IR-E-U-0491.pdf,32,8,5,9,8,5,18130000,10267488,20380055
62,IR-E-U-0017.pdf,25,96,44,13,33,16,195297042,219760000,239893845
63,IR-E-U-0844.pdf,18,21,5,6,3,2,36298998,41021919,17269839
64,IR-E-U-0938.pdf,9,18,23,7,13,15,22761640,50324461,48835275
65,IR-E-C-1336.pdf,4,0,3,4,0,3,5830000,0,4550800
66,IR-E-U-0168.pdf,1,2,1,1,2,1,270600,585600,292600
67,IR-E-U-0334.pdf,146,115,155,60,45,43,153399103,121342270,195322025
68,IR-E-C-18254.pdf,12,12,6,8,5,3,10250684,13859760,13062859
69,IR-E-U-0749.pdf,4,13,9,3,6,5,14237000,7542419,8069000
70,IR-E-U-0072.pdf,66,79,61,16,17,14,44079025,110949141,58266312
71,IR-E-U-0643.pdf,27,23,1,7,6,1,7755000,10500000,3030000
72,IR-E-U-0474.pdf,135,131,120,65,62,56,193542500,182085960,168475350
73,IR-E-U-0237.pdf,226,200,152,29,40,34,460614368,284902557,206545593
74,IR-E-C-42227.pdf,9,27,20,4,27,42,1094255,6758939,6083038
75,IR-E-U-0460.pdf,28,40,21,12,13,10,58548639,27946979,16346856
