,CollegeID,Intake_2015_16,Intake_2016_17,Intake_2017_18,Admitted_2015_16,Admitted_2016_17,Admitted_2017_18,Lateral_2016_17,Lateral_2017_18,Lateral_2018_19,Graduate_2018_19,Graduate_2019_20,Graduate_2020_21,Placed_2018_19,Placed_2019_20,Placed_2020_21,Salary_2018_19,Salary_2019_20,Salary_2020_21,HighStudies_2018_19,HighStudies_2019_20,HighStudies_2020_21
0,IR-E-C-1412.pdf,790,910,970,734,792,897,144,166,163,830,828,947,553,548,690,500000,525000,600000,201,179,151
1,IR-E-U-0064.pdf,200,200,225,189,193,200,0,0,0,175,160,155,114,118,140,1000000,1400000,1180000,7,8,5
2,IR-E-C-16604.pdf,819,780,900,826,830,952,101,101,132,787,703,1018,642,579,844,440000,500000,550000,123,107,77
3,IR-E-U-0149.pdf,818,818,818,768,732,778,0,0,0,727,720,708,516,483,479,672000,745000,690000,76,132,136
4,IR-E-U-0197.pdf,632,422,632,583,382,579,0,0,0,576,378,568,358,254,343,623000,675000,625000,132,79,124
5,IR-E-I-1356.pdf,300,300,300,242,274,278,28,35,22,242,275,287,69,33,11,480000,350000,480000,53,170,182
6,IR-E-I-1480.pdf,1270,1480,1625,1274,1438,1540,120,111,86,1270,1549,1626,1088,1053,1176,630000,810000,800000,180,182,190
7,IR-E-U-0613.pdf,180,180,180,166,125,152,0,0,0,145,105,135,46,51,82,550000,600000,640000,8,17,6
8,IR-E-U-0055.pdf,632,632,632,606,590,618,0,0,0,553,548,588,444,450,474,640000,660000,750000,23,26,28
9,IR-E-U-0489.pdf,930,1560,2400,803,1445,2252,41,56,34,505,916,1859,353,728,1512,415000,420000,420000,61,65,130
10,IR-E-U-0615.pdf,210,210,210,167,131,147,0,0,0,150,116,124,104,58,62,477500,557500,650000,12,15,21
11,IR-E-C-1400.pdf,840,900,900,885,923,984,186,205,185,913,981,1003,536,561,549,400000,500000,525000,152,59,136
12,IR-E-U-0130.pdf,300,300,330,310,316,336,0,0,0,284,286,307,230,215,258,1050000,1400000,1227000,54,71,49
13,IR-E-U-0620.pdf,104,104,104,96,79,86,0,0,0,66,69,77,57,54,57,640000,650000,650000,9,15,13
14,IR-E-U-0011.pdf,3060,3470,4320,2932,3370,4198,0,0,0,2904,3320,4035,2704,3173,3842,350000,396000,396000,105,81,119
15,IR-E-I-1093.pdf,1380,1380,1380,1330,1246,1106,91,81,84,1370,1240,1190,1138,1095,1116,398000,404100,452000,145,78,39
16,IR-E-C-33777.pdf,600,630,630,630,660,658,132,134,129,726,747,768,339,382,386,425000,450000,600000,229,232,212
17,IR-E-U-0685.pdf,296,367,382,296,367,357,0,0,0,257,321,336,210,281,279,850000,900000,1500000,32,19,48
