,CollegeID,Projects_20_21,Projects_19_20,Projects_18_19,Organization_20_21,Organization_19_20,Organization_18_19,Amount_20_21,Amount_19_20,Amount_18_19,FUNDS,AVG
0,IR-E-N-10.pdf,4,3,14,3,3,8,871980,1653570,406264,2931814,977271.3333
1,IR-E-U-0186.pdf,4,5,0,4,5,0,155380,312065,0,467445,155815
2,IR-E-U-0584.pdf,72,86,87,44,59,64,99586778,30783790,42631812,173002380,57667460
3,IR-E-U-0267.pdf,1,0,9,1,0,9,5000000,0,35333294,40333294,13444431.33
4,IR-E-U-0476.pdf,640,872,845,108,153,142,152323781,187968350,236228530,576520661,192173553.7
5,IR-E-U-0189.pdf,485,231,334,141,74,43,20853425,27025000,34680281,82558706,27519568.67
6,IR-E-U-0367.pdf,26,14,19,26,14,15,5373914,7000949,10753352,23128215,7709405
7,IR-E-U-0155.pdf,5,3,2,4,3,2,1275702,2277790,0,3553492,1184497.333
8,IR-E-U-0522.pdf,0,0,1,0,0,1,0,0,3809035,3809035,1269678.333
9,IR-E-U-0308.pdf,173,194,128,109,157,115,35177584,57006346,42606235,134790165,44930055
10,IR-E-U-0455.pdf,2,3,8,2,3,5,1480000,832346,757558,3069904,1023301.333
11,IR-E-U-0560.pdf,554,783,858,470,625,687,417401259,635118627,588518520,1641038406,547012802
12,IR-E-U-0497.pdf,1,5,6,1,5,6,500000,430085,1411771,2341856,780618.6667
13,IR-E-U-0490.pdf,206,48,50,79,46,38,16511146,6852170,5389402,28752718,9584239.333
14,IR-E-U-0379.pdf,27,45,66,7,35,62,12646369,22800618,20270312,55717299,18572433
