,CollegeID,PG_Intake_2017_18,PG_Intake_2018_19,PG_Intake_2019_20,PG_Admitted_2017_18,PG_Admitted_2018_19,PG_Admitted_2019_20,PG_Graduate_2018_19,PG_Graduate_2019_20,PG_Graduate_2020_21,PG_Placed_2018_19,PG_Placed_2019_20,PG_Placed_2020_21,PG_Salary_2018_19,PG_Salary_2019_20,PG_Salary_2020_21,PG_HighStudies_2018_19,PG_HighStudies_2019_20,PG_HighStudies_2020_21
0,IR-E-N-10.pdf,35,25,35,25,20,30,21,20,28,10,12,25,650000,850000,1000000,0,0,0
1,IR-E-U-0186.pdf,108,54,54,24,13,14,24,11,14,7,1,5,480000,360000,360000,17,10,9
2,IR-E-U-0584.pdf,318,315,384,210,274,275,182,191,235,38,45,48,680000,700000,736000,68,69,72
3,IR-E-U-0267.pdf,120,120,50,76,50,28,65,47,28,32,35,22,585000,757000,920000,10,11,6
4,IR-E-U-0476.pdf,135,100,100,132,98,97,128,97,94,71,45,31,360000,400000,400000,32,38,18
5,IR-E-U-0189.pdf,255,255,304,188,198,226,173,186,211,29,17,26,587000,580000,775000,33,35,34
6,IR-E-U-0367.pdf,324,324,324,252,281,114,250,281,109,183,210,45,580000,560000,565000,67,61,25
7,IR-E-U-0155.pdf,225,225,190,225,225,179,198,217,164,121,129,105,300000,328000,300000,31,36,21
8,IR-E-U-0522.pdf,270,270,270,48,36,30,47,34,26,5,7,11,360000,401000,475000,26,15,14
9,IR-E-U-0308.pdf,272,272,272,210,254,254,186,254,254,104,128,160,480000,550000,525000,10,12,24
10,IR-E-U-0455.pdf,66,68,84,51,51,57,29,41,46,12,14,18,412000,550000,827000,9,11,7
11,IR-E-U-0560.pdf,681,669,707,650,741,729,576,550,600,184,207,140,1000000,1006000,710000,122,250,315
12,IR-E-U-0497.pdf,210,180,180,182,168,135,153,149,122,124,92,95,354000,700000,343000,21,7,16
13,IR-E-U-0490.pdf,1610,1771,1788,1472,1481,1354,1416,1443,1329,715,526,673,592000,600000,545000,122,66,34
14,IR-E-U-0379.pdf,170,120,120,139,107,120,139,107,105,25,28,67,338005,480000,615000,14,1,8
