,CollegeID,Sponsored_Projects_2020_21,Sponsored_Projects_2019_20,Sponsored_Projects_2018_19,FundingAgencies_2020_21,FundingAgencies_2019_20,FundingAgencies_2018_19,Total_Amount_2020_21,Total_Amount_2019_20,Total_Amount_2018_19,FUNDING,AVG
0,IR-E-N-10.pdf,2,2,1,2,2,1,2135429,842779,169296,3147504,1049168
1,IR-E-U-0186.pdf,10,23,34,7,9,9,5950424,6960769,6286771,19197964,6399321.333
2,IR-E-U-0584.pdf,43,79,50,16,29,29,76444297,111972947,260299553,448716797,149572265.7
3,IR-E-U-0267.pdf,30,29,26,12,10,14,11003061,13459579,11125917,35588557,11862852.33
4,IR-E-U-0476.pdf,84,109,96,15,20,26,369445015,74940052,110720442,555105509,185035169.7
5,IR-E-U-0189.pdf,40,38,39,14,12,14,11130333,16139000,7708325,34977658,11659219.33
6,IR-E-U-0367.pdf,8,6,7,2,5,5,6219703,11495500,3715000,21430203,7143401
7,IR-E-U-0155.pdf,25,22,21,6,4,6,21513237,32114258,22585594,76213089,25404363
8,IR-E-U-0522.pdf,13,11,19,7,7,6,13621726,13119218,19467436,46208380,15402793.33
9,IR-E-U-0308.pdf,114,150,169,61,87,89,252661675,291750593,266752489,811164757,270388252.3
10,IR-E-U-0455.pdf,12,13,20,9,9,8,33950929,20737586,65367890,120056405,40018801.67
11,IR-E-U-0560.pdf,145,163,159,35,37,106,699699812,835612000,555131305,2090443117,696814372.3
12,IR-E-U-0497.pdf,75,69,108,22,21,22,91023264,62700817,88279707,242003788,80667929.33
13,IR-E-U-0490.pdf,105,105,171,16,19,34,117044496,92024003,158518885,367587384,122529128
14,IR-E-U-0379.pdf,21,25,53,6,24,50,10975947,15666405,44792714,71435066,23811688.67
