,CollegeID,Intake_2015_16,Intake_2016_17,Intake_2017_18,Admitted_2015_16,Admitted_2016_17,Admitted_2017_18,Lateral_2016_17,Lateral_2017_18,Lateral_2018_19,Graduate_2018_19,Graduate_2019_20,Graduate_2020_21,Placed_2018_19,Placed_2019_20,Placed_2020_21,Salary_2018_19,Salary_2019_20,Salary_2020_21,HighStudies_2018_19,HighStudies_2019_20,HighStudies_2020_21
0,IR-E-N-10.pdf,420,420,480,368,382,394,75,59,46,370,384,402,195,282,257,450000,500000,450000,72,92,145
1,IR-E-U-0186.pdf,510,510,510,509,480,421,0,0,0,468,413,370,289,248,216,360000,410000,400000,73,164,153
2,IR-E-U-0584.pdf,637,566,566,610,560,560,0,0,0,457,540,490,330,381,335,650000,700000,720000,52,56,91
3,IR-E-U-0267.pdf,0,0,41,0,0,40,0,0,0,0,0,40,0,0,36,0,0,1581000,0,0,4
4,IR-E-U-0476.pdf,1560,1900,1860,1535,1873,1785,81,21,104,1458,1761,1730,1262,1569,1474,500000,500000,600000,114,127,108
5,IR-E-U-0189.pdf,522,522,552,506,509,548,0,0,0,458,480,548,331,270,292,562000,715000,650000,58,33,35
6,IR-E-U-0367.pdf,1036,1036,1036,981,986,837,152,161,162,934,976,967,385,422,440,360000,456000,450000,156,113,105
7,IR-E-U-0155.pdf,250,215,150,245,213,141,3,1,4,221,179,143,103,60,61,350000,333000,400000,39,29,21
8,IR-E-U-0522.pdf,1260,1140,1140,1205,1127,1127,0,0,0,1074,1033,998,858,793,832,400000,500000,500000,112,125,140
9,IR-E-U-0308.pdf,211,211,211,214,244,229,0,0,0,214,244,229,99,92,103,475000,700000,655000,84,73,78
10,IR-E-U-0455.pdf,123,163,163,120,150,154,0,0,0,118,145,141,67,102,109,545000,960000,889000,22,28,14
11,IR-E-U-0560.pdf,900,845,815,866,844,808,0,0,0,825,794,768,726,663,624,1450900,1754000,1672000,99,131,144
12,IR-E-U-0497.pdf,2220,2220,1980,2125,2096,1857,0,0,0,1840,1838,1780,985,1090,1200,375000,375000,413000,252,271,273
13,IR-E-U-0490.pdf,6220,6283,6883,5117,6009,5522,0,0,0,4666,5500,5294,2968,3483,3393,550000,650000,650000,1102,1016,938
14,IR-E-U-0379.pdf,2805,4320,5400,2404,3985,5119,348,308,241,2512,3936,5165,1302,2139,3668,350000,441000,620000,115,129,242
