,CollegeID,Projects_20_21,Projects_19_20,Projects_18_19,Organization_20_21,Organization_19_20,Organization_18_19,Amount_20_21,Amount_19_20,Amount_18_19,FUNDS,AVG
0,IR-E-U-0255.pdf,9,9,6,6,5,4,4725000,9374700,17742000,31841700,10613900
1,IR-E-U-0184.pdf,12,14,14,12,13,14,5687378,8219609,2880328,16787315,5595771.667
2,IR-E-U-0355.pdf,81,61,44,60,46,35,54836556,33003970,32148180,119988706,39996235.33
3,IR-E-U-0205.pdf,58,79,200,37,45,66,43408094,53216216,228258889,324883199,108294399.7
4,IR-E-U-0701.pdf,570,1233,1073,343,806,717,128762896,151707669,116899811,397370376,132456792
5,IR-E-U-0015.pdf,360,380,362,100,125,121,6693292,6428595,8919889,22041776,7347258.667
6,IR-E-C-36995.pdf,31,23,22,14,11,15,21013649,19607330,11110161,51731140,17243713.33
7,IR-E-U-0078.pdf,29,35,9,4336,5388,8,16480184,25797733,15020406,57298323,19099441
8,IR-E-U-0014.pdf,12,7,3,12,7,3,3493987,2207500,2400000,8101487,2700495.667
9,IR-E-I-1074.pdf,355,362,387,299,318,327,377449556,309608826,450796210,1137854592,379284864
10,IR-E-U-0306.pdf,532,720,733,388,484,528,4609000000,596700000,756600000,5962300000,1987433333
11,IR-E-C-37013.pdf,69,49,270,52,285,403,2566224,5821588,12592398,20980210,6993403.333
12,IR-E-U-0854.pdf,20,24,22,20,24,22,2667000,3687000,3317826,9671826,3223942
13,IR-E-U-0577.pdf,31,49,129,27,29,98,22233236,23191052,15004660,60428948,20142982.67
14,IR-E-U-0143.pdf,11,28,55,9,25,45,9560935,13949500,17419118,40929553,13643184.33
15,IR-E-U-0541.pdf,9,0,3,7,0,3,5016100,0,332000,5348100,1782700
