,CollegeID,Lifts,WalkingAids,Toilets
0,IR-E-U-0255.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
1,IR-E-U-0184.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
2,IR-E-U-0355.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
3,IR-E-U-0205.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
4,IR-E-U-0701.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
5,IR-E-U-0015.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 60% of the buildings"
6,IR-E-C-36995.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
7,IR-E-U-0078.pdf,"Yes, more than 40% of the buildings",Yes,Not available
8,IR-E-U-0014.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
9,IR-E-I-1074.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
10,IR-E-U-0306.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
11,IR-E-C-37013.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
12,IR-E-U-0854.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
13,IR-E-U-0577.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
14,IR-E-U-0143.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
15,IR-E-U-0541.pdf,"Yes, more than 80% of the buildings",Yes,"Yes, more than 80% of the buildings"
