,CollegeID,PG_Intake_2017_18,PG_Intake_2018_19,PG_Intake_2019_20,PG_Admitted_2017_18,PG_Admitted_2018_19,PG_Admitted_2019_20,PG_Graduate_2018_19,PG_Graduate_2019_20,PG_Graduate_2020_21,PG_Placed_2018_19,PG_Placed_2019_20,PG_Placed_2020_21,PG_Salary_2018_19,PG_Salary_2019_20,PG_Salary_2020_21,PG_HighStudies_2018_19,PG_HighStudies_2019_20,PG_HighStudies_2020_21
0,IR-E-U-0255.pdf,150,150,150,75,74,91,69,69,89,23,15,21,800000,800000,890000,9,21,21
1,IR-E-U-0184.pdf,156,270,334,120,192,263,112,172,235,41,78,109,800000,800000,650000,47,83,121
2,IR-E-U-0355.pdf,154,173,246,125,156,192,105,141,151,66,63,74,650000,1150000,882000,15,31,20
3,IR-E-U-0205.pdf,927,944,701,793,613,391,669,468,275,373,245,141,625000,640000,700000,100,83,33
4,IR-E-U-0701.pdf,425,443,534,359,364,459,252,293,369,195,190,268,809000,1508000,1600000,57,52,83
5,IR-E-U-0015.pdf,659,650,515,592,538,424,531,411,317,84,133,177,350000,434000,350000,4,6,0
6,IR-E-C-36995.pdf,78,78,78,53,55,69,53,55,69,51,52,64,462000,480000,500000,2,3,5
7,IR-E-U-0078.pdf,324,367,449,116,170,163,78,110,37,21,13,4,274000,500000,420000,25,28,2
8,IR-E-U-0014.pdf,170,170,180,133,182,183,107,147,143,102,136,138,1900000,1600000,1870000,5,11,5
9,IR-E-I-1074.pdf,1252,1045,1169,996,947,1181,635,653,867,243,322,379,1000000,1100000,1500000,91,190,240
10,IR-E-U-0306.pdf,753,753,790,816,851,862,456,505,569,369,343,406,1026708,1200000,1300000,37,23,17
11,IR-E-C-37013.pdf,482,482,475,275,345,306,260,286,292,101,99,128,450740,420000,500000,1,3,4
12,IR-E-U-0854.pdf,150,150,150,98,98,81,91,86,79,57,44,51,340000,487500,450000,1,1,1
13,IR-E-U-0577.pdf,342,304,342,248,257,252,200,220,224,35,47,48,600000,750000,740000,160,148,169
14,IR-E-U-0143.pdf,415,415,415,415,415,415,387,392,395,162,165,150,340000,320000,320000,132,142,130
15,IR-E-U-0541.pdf,135,155,126,127,103,131,120,77,121,15,51,39,280000,400000,384000,2,11,5
