,CollegeID,Total_Phd_FT,Total_Phd_PT,Graduate_FT_20_21,Graduate_FT_19_20,Graduate_FT_18_19,Graduate_PT_20_21,Graduate_PT_19_20,Graduate_PT_18_19,NP,AVG
0,IR-E-U-0255.pdf,176,54,12,13,10,1,1,2,39,13
1,IR-E-U-0184.pdf,286,19,52,48,29,7,1,2,139,46.33333333
2,IR-E-U-0355.pdf,288,0,35,35,32,0,0,0,102,34
3,IR-E-U-0205.pdf,502,391,76,68,96,37,45,52,374,124.6666667
4,IR-E-U-0701.pdf,1152,6,112,115,51,0,0,0,278,92.66666667
5,IR-E-U-0015.pdf,38,255,8,5,6,92,57,122,290,96.66666667
6,IR-E-C-36995.pdf,16,158,4,4,1,35,38,34,116,38.66666667
7,IR-E-U-0078.pdf,197,0,16,18,12,0,0,0,46,15.33333333
8,IR-E-U-0014.pdf,108,60,14,11,12,4,0,5,46,15.33333333
9,IR-E-I-1074.pdf,2826,506,224,196,209,64,89,98,880,293.3333333
10,IR-E-U-0306.pdf,2069,342,122,205,204,150,66,41,788,262.6666667
11,IR-E-C-37013.pdf,148,269,20,10,10,41,39,59,179,59.66666667
12,IR-E-U-0854.pdf,10,91,0,0,0,7,7,17,31,10.33333333
13,IR-E-U-0577.pdf,352,307,72,57,42,24,43,49,287,95.66666667
14,IR-E-U-0143.pdf,215,0,18,21,9,0,0,0,48,16
15,IR-E-U-0541.pdf,115,109,8,4,1,2,3,6,24,8
