,CollegeID,Intake_2015_16,Intake_2016_17,Intake_2017_18,Admitted_2015_16,Admitted_2016_17,Admitted_2017_18,Lateral_2016_17,Lateral_2017_18,Lateral_2018_19,Graduate_2018_19,Graduate_2019_20,Graduate_2020_21,Placed_2018_19,Placed_2019_20,Placed_2020_21,Salary_2018_19,Salary_2019_20,Salary_2020_21,HighStudies_2018_19,HighStudies_2019_20,HighStudies_2020_21
0,IR-E-U-0255.pdf,120,120,120,120,120,120,0,0,0,114,113,106,91,82,79,913668,913668,1063656,3,7,8
1,IR-E-U-0184.pdf,145,150,150,134,150,147,0,0,0,128,145,143,102,118,112,1000000,1500000,1800000,17,24,27
2,IR-E-U-0355.pdf,180,220,260,162,212,255,0,0,0,148,195,242,120,154,198,900000,1350000,1350000,11,4,17
3,IR-E-U-0205.pdf,814,824,824,782,798,790,0,0,0,777,745,758,614,565,598,840000,1100000,1100000,32,21,19
4,IR-E-U-0701.pdf,815,815,815,757,770,788,0,0,0,754,751,765,699,680,694,1360000,1348000,1600000,35,25,41
5,IR-E-U-0015.pdf,710,653,610,664,637,565,71,124,203,661,707,651,432,293,398,375000,360000,400000,67,67,23
6,IR-E-C-36995.pdf,1080,1080,1080,1026,982,1041,186,182,155,1189,1141,1172,998,977,985,462000,480000,500000,191,164,187
7,IR-E-U-0078.pdf,805,836,836,724,761,706,0,0,0,625,650,490,368,297,280,700000,480000,500000,54,55,88
8,IR-E-U-0014.pdf,185,185,185,147,136,131,8,6,15,134,114,120,114,106,112,2000000,2100000,2953000,16,8,8
9,IR-E-I-1074.pdf,749,749,749,759,751,750,0,0,0,615,650,672,495,511,541,1570000,1550000,1760000,78,90,101
10,IR-E-U-0306.pdf,717,717,729,666,716,672,0,0,0,615,613,604,430,448,468,1178400,1300000,1500000,125,116,54
11,IR-E-C-37013.pdf,1140,1140,1140,1123,1101,1090,260,312,238,1181,1017,1240,665,628,771,420000,420000,500000,125,81,141
12,IR-E-U-0854.pdf,1020,1080,1080,1011,1071,1055,218,197,166,1063,1145,1193,720,693,742,498000,450000,450000,85,32,27
13,IR-E-U-0577.pdf,800,768,647,756,685,633,0,0,0,748,663,630,620,453,429,640000,797500,680000,121,150,183
14,IR-E-U-0143.pdf,700,700,700,700,700,700,177,160,164,593,621,730,483,450,360,310000,310000,373000,101,140,185
15,IR-E-U-0541.pdf,630,720,750,590,642,426,26,35,55,446,532,455,208,262,255,281000,336000,335000,28,53,31
